id,kind,parent_figure,panel,runnable,reproduction_level,raw_to_figure_complete,rebuild_derived_supported,pixel_exact_verified,comparison_class,output,reference,limitations
Fig2_C4,panel,Fig2,C4,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C4/Fig2_C4.png,reference/panels/Fig2/Fig2_C4.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
Fig2_C5,panel,Fig2,C5,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C5/Fig2_C5.png,reference/panels/Fig2/Fig2_C5.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
Fig2_C6,panel,Fig2,C6,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C6/Fig2_C6.png,reference/panels/Fig2/Fig2_C6.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
Fig5_A,panel,Fig5,A,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_A/Fig5_A.png,reference/panels/Fig5/Fig5_A.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_B,panel,Fig5,B,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_B/Fig5_B.png,reference/panels/Fig5/Fig5_B.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_C,panel,Fig5,C,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_C/Fig5_C.png,reference/panels/Fig5/Fig5_C.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_D,panel,Fig5,D,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_D/Fig5_D.png,reference/panels/Fig5/Fig5_D.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_E,panel,Fig5,E,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_E/Fig5_E.png,reference/panels/Fig5/Fig5_E.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_F,panel,Fig5,F,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_F/Fig5_F.png,reference/panels/Fig5/Fig5_F.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_G,panel,Fig5,G,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_G/Fig5_G.png,reference/panels/Fig5/Fig5_G.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_H,panel,Fig5,H,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_H/Fig5_H.png,reference/panels/Fig5/Fig5_H.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_I,panel,Fig5,I,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_I/Fig5_I.png,reference/panels/Fig5/Fig5_I.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
Fig5_J,panel,Fig5,J,True,analysis-ready numeric inputs to source-code redraw,False,False,True,pixel_exact,outputs/Fig5_J/Fig5_J.png,reference/panels/Fig5/Fig5_J.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED3_A,panel,ED3,A,True,analysis-ready numeric observations to panel,False,False,False,scientific_reproduction_only,outputs/ED3_A/ED3_A.png,reference/panels/ED3/ED3_A_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED3_B,panel,ED3,B,True,numeric geometry to alternative schematic,False,False,False,scientific_reproduction_only,outputs/ED3_B/ED3_B.png,reference/panels/ED3/ED3_B_reference.png,The accepted illustration artwork and exact final compositor were not archived.
ED3_C,panel,ED3,C,True,analysis-ready transmit-pattern envelopes to panel,False,False,False,scientific_reproduction_only,outputs/ED3_C/ED3_C.png,reference/panels/ED3/ED3_C_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED4_A,panel,ED4,A,True,analysis-ready numeric table to helper-independent panel,False,False,False,scientific_reproduction_only,outputs/ED4_A/ED4_A.png,reference/panels/ED4/ED4_A_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED4_B,panel,ED4,B,True,analysis-ready residual table to helper-independent panel,False,False,False,scientific_reproduction_only,outputs/ED4_B/ED4_B.png,reference/panels/ED4/ED4_B_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED4_C,panel,ED4,C,True,analysis-ready WGS84 tangent geometry to helper-independent panel,False,False,False,scientific_reproduction_only,outputs/ED4_C/ED4_C.png,reference/panels/ED4/ED4_C_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED4_D,panel,ED4,D,True,analysis-ready simulated WGS84 footprint to helper-independent panel,False,False,False,scientific_reproduction_only,outputs/ED4_D/ED4_D.png,reference/panels/ED4/ED4_D_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_A,panel,ED5,A,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_A/ED5_A.png,reference/panels/ED5/ED5_A_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_B,panel,ED5,B,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_B/ED5_B.png,reference/panels/ED5/ED5_B_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_C,panel,ED5,C,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_C/ED5_C.png,reference/panels/ED5/ED5_C_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_D,panel,ED5,D,True,selected-event YunYao/IRI/PFISR numeric profiles to panel,False,False,False,scientific_reproduction_only,outputs/ED5_D/ED5_D.png,reference/panels/ED5/ED5_D_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_E,panel,ED5,E,True,selected-event 2026-07-27 filled beam-range velocity cells to panel,False,False,False,scientific_reproduction_only,outputs/ED5_E/ED5_E.png,reference/panels/ED5/ED5_E_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_F,panel,ED5,F,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_F/ED5_F.png,reference/panels/ED5/ED5_F_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_G,panel,ED5,G,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_G/ED5_G.png,reference/panels/ED5/ED5_G_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_H,panel,ED5,H,True,selected-event panel-ready numeric inputs to panel,False,False,False,scientific_reproduction_only,outputs/ED5_H/ED5_H.png,reference/panels/ED5/ED5_H_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_I,panel,ED5,I,True,selected-event YunYao/IRI numeric profiles to panel,False,False,False,scientific_reproduction_only,outputs/ED5_I/ED5_I.png,reference/panels/ED5/ED5_I_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
ED5_J,panel,ED5,J,True,selected-event 2026-07-27 filled beam-range velocity cells to panel,False,False,False,scientific_reproduction_only,outputs/ED5_J/ED5_J.png,reference/panels/ED5/ED5_J_reference.png,"The accepted full-figure assembly chain is incomplete. | Pixel equality, when true, applies to the standalone panel reference only."
